date,tick,sqrtPrice,liquidity,volumeUSD,volumeToken0,volumeToken1,tvlUSD,feesUSD,close,open,low,high
2024-05-22,194201,1.3052670721980945e+33,1.753863056401106e+19,217785316.58397922,217743183.855404,58133.92021063462,506901523.09776455,108892.65829198962,3788.623357545096,3788.623357545096,3653.3706333895348,3809.130568217392
2024-05-21,193922,1.2871816351706331e+33,1.479221093678361e+19,858842141.486654,858722734.395123,229847.47255410606,517812770.93745744,429421.070743327,3663.4624913568864,3663.4624913568864,3629.8225049324196,3835.7964971620195
2024-05-20,194257,1.3089453625930596e+33,1.8577004253020717e+19,640618894.4641286,640728937.128634,187721.40289860923,524590140.3261543,320309.4472320643,3072.8594763867623,3072.8594763867623,3050.524453241771,3690.46625365035
2024-05-19,196016,1.4292504244526394e+33,1.0875555490889628e+19,124137447.52548479,124107847.937799,40187.369856610254,469874936.01296467,62068.72376274239,3123.5350065497487,3123.5350065497487,3055.928654647525,3135.4288647243643
2024-05-18,195857,1.417943756473941e+33,1.1274536707152364e+19,104911879.17565778,104915342.902994,33687.07858529446,481264260.12528926,52455.939587828885,3091.832901256682,3091.832901256682,3081.8072207600426,3159.6849420232343
2024-05-17,195949,1.4244974631957496e+33,1.0914075439856507e+19,204563435.41073695,204623536.211422,67333.31520290376,483668194.972195,102281.71770536847,2943.794766291622,2943.794766291622,2934.5785680000004,3118.2472826613953
2024-05-16,196445,1.4602450614884832e+33,1.1069472791495215e+19,163980611.12975487,163939612.509753,54951.87572891502,469661326.404722,81990.30556487743,3035.337710336924,3035.337710336924,2925.693667193921,3040.1775862322775
2024-05-15,196139,1.4380569847113646e+33,8.495157775008074e+18,181097851.41251534,181131364.098249,61399.727373291455,478200028.49314284,90548.92570625768,2880.739738613814,2880.739738613814,2846.255377223577,3042.5843893722636
2024-05-14,196661,1.4761384213767226e+33,9.591637370956147e+18,164054882.28250948,164028900.21115,56470.83074220666,457910742.95775056,82027.44114125473,2948.9865675120714,2948.9865675120714,2863.2103454914095,2958.164408922884
2024-05-13,196427,1.4589530912235994e+33,9.842515097938e+18,148915220.48647457,148816825.599703,50825.996558681094,462342002.7096642,74457.61024323729,2929.2723724261314,2929.2723724261314,2782.7656064587936,3000.076580293591
