Week,Transactions,Tokens Locked,Tokens Released,Weekly Supply Change,Weekly Demand Change,Circulating Supply,Percentage change Price,Token Price
0,1000.0,0.0,0.0,0.0,10065.0,10000000.0,0.0,0.56
1,1050.0,105.0,52.5,-52.5,10068.25,9999947.5,0.00039312637309130274,0.5602201507689313
2,1101.9750000000001,110.19750000000002,55.09875000000001,-55.09875000000001,10071.628374999998,9999892.40125,0.0004084143677643947,0.5604489527276164
3,1155.4318072500002,115.54318072500003,57.771590362500014,-57.771590362500014,10075.10306747125,9999834.629659636,0.00041969309325822797,0.5606841692822
4,1209.8003043106066,120.98003043106067,60.490015215530335,-60.490015215530335,10078.637019780188,9999774.13964442,0.0004263528597964654,0.5609232185812161
5,1264.450023074681,126.4450023074681,63.22250115373405,-63.22250115373405,10082.189251499854,9999710.917143267,0.0004279196312792596,0.5611632486380873
6,1318.7124877233853,131.87124877233853,65.93562438616927,-65.93562438616927,10085.71631170202,9999644.981518881,0.0004241008908910946,0.5614012384717701
7,1371.9081009422625,137.19081009422626,68.59540504711313,-68.59540504711313,10089.174026561248,9999576.386113834,0.00041482139928969745,0.561634119719076
8,1423.375671661238,142.3375671661238,71.1687835830619,-71.1687835830619,10092.519418657981,9999505.21733025,0.0004002434843477002,0.5618589101160809
9,1472.5021932929217,147.25021932929218,73.62510966464609,-73.62510966464609,10095.71264256404,9999431.592220586,0.0003807680427086113,0.5620728480335642
10,1518.7502851954916,151.87502851954918,75.93751425977459,-75.93751425977459,10098.718768537707,9999355.654706325,0.00035701480914175073,0.5622735163641287
11,1561.6808647070445,156.16808647070445,78.08404323535223,-78.08404323535223,10101.509256205958,9999277.57066309,0.0003297832634831287,0.5624589447593255
12,1600.969113747642,160.0969113747642,80.0484556873821,-80.0484556873821,10104.062992393596,9999197.522207404,0.0002999982612098064,0.5626276814647552
13,1636.4125655491334,163.64125655491335,81.82062827745668,-81.82062827745668,10106.366816760694,9999115.701579126,0.00026864655157304114,0.5627788294512003
14,1667.9310346906173,166.79310346906175,83.39655173453087,-83.39655173453087,10108.41551725489,9999032.305027392,0.00023671138389887964,0.5629120456067486
15,1695.55899673408,169.55589967340802,84.77794983670401,-84.77794983670401,10110.211334787715,9998947.527077556,0.00020511223772825163,0.5630275057560672
16,1719.4317545612487,171.9431754561249,85.97158772806245,-85.97158772806245,10111.763064046481,9998861.555489827,0.0001746554585335653,0.5631258415832521
17,1739.7672105867132,173.97672105867133,86.98836052933567,-86.98836052933567,10113.084868688136,9998774.567129297,0.00014599957434928898,0.5632080577164283
18,1756.8452576767536,175.68452576767538,87.84226288383769,-87.84226288383769,10114.194941748989,9998686.724866413,0.00011963676303188746,0.563275438105367
19,1770.9867235024763,177.09867235024763,88.54933617512381,-88.54933617512381,10115.11413702766,9998598.175530238,9.588978076554052e-05,0.5633294504636375
20,1782.533512826246,178.2533512826246,89.1266756413123,-89.1266756413123,10115.864678333704,9998509.048854597,7.492198667143457e-05,0.5633716562252167
21,1791.8311721082794,179.18311721082796,89.59155860541398,-89.59155860541398,10116.469026187038,9998419.457295991,5.675708058257226e-05,0.5634036315557069
22,1799.2146351014617,179.92146351014617,89.96073175507308,-89.96073175507308,10116.948951281594,9998329.496564236,4.130482332894821e-05,0.5634269028431712
23,1804.997467327981,180.49974673279812,90.24987336639906,-90.24987336639906,10117.32483537632,9998239.24669087,2.83892197687921e-05,0.5634428980933397
24,1809.464559766978,180.94645597669782,90.47322798834891,-90.47322798834891,10117.615196384853,9998148.77346288,1.777623628101817e-05,0.563452913987427
25,1812.8679521018191,181.28679521018194,90.64339760509097,-90.64339760509097,10117.836416886617,9998058.130065275,9.198906805965884e-06,0.5634580971382724
26,1815.425297391739,181.54252973917392,90.77126486958696,-90.77126486958696,10118.002644330463,9997967.358800406,2.3784926393956604e-06,0.563459437319209
27,1817.3204024945658,181.7320402494566,90.8660201247283,-90.8660201247283,10118.125826162146,9997876.492780281,-2.9589131803617243e-06,0.5634577700916533
28,1818.7052733655548,181.87052733655548,90.93526366827774,-90.93526366827774,10118.215842768761,9997785.557516612,-7.070369540449504e-06,0.5634537862369984
29,1819.7031402281234,181.97031402281235,90.98515701140617,-90.98515701140617,10118.280704114828,9997694.572359601,-1.0188284981245826e-05,0.5634480456092504
30,1820.4120144244298,182.041201442443,91.0206007212215,-91.0206007212215,10118.326780937588,9997603.55175888,-1.2516209488406297e-05,0.5634409933754758
31,1820.9084196636145,182.09084196636147,91.04542098318073,-91.04542098318073,10118.359047278134,9997512.506337896,-1.4227488799603222e-05,0.5634329770250533
32,1821.2510326797778,182.1251032679778,91.0625516339889,-91.0625516339889,10118.381317124185,9997421.443786262,-1.546603954443506e-05,0.56342426294835
33,1821.4840533665272,182.14840533665273,91.07420266832636,-91.07420266832636,10118.396463468824,9997330.369583594,-1.6348562270051665e-05,0.5634150517717027
34,1821.6401972019785,182.16401972019787,91.08200986009894,-91.08200986009894,10118.40661281813,9997239.287573734,-1.6967608553043412e-05,0.5634054919656514
35,1821.743260967597,182.17432609675973,91.08716304837986,-91.08716304837986,10118.413311962893,9997148.200410686,-1.739503550118685e-05,0.5633956915071171
36,1821.8102562054548,182.18102562054548,91.09051281027274,-91.09051281027274,10118.417666653355,9997057.109897876,-1.768549945442124e-05,0.5633857275729223
37,1821.8531347344986,182.18531347344987,91.09265673672493,-91.09265673672493,10118.420453757743,9996966.017241139,-1.7879749695585565e-05,0.5633756543771312
38,1821.8801488435913,182.18801488435915,91.09400744217957,-91.09400744217957,10118.422209674833,9996874.923233697,-1.8007575933863564e-05,0.5633655093472557
39,1821.896897839576,182.18968978395762,91.09484489197881,-91.09484489197881,10118.423298359572,9996783.828388805,-1.8090337498793908e-05,0.5633553178750564
40,1821.9071148210533,182.19071148210534,91.09535574105267,-91.09535574105267,10118.423962463368,9996692.733033063,-1.8143057261837625e-05,0.5633450968872654
41,1821.913245044317,182.1913245044317,91.09566225221585,-91.09566225221585,10118.42436092788,9996601.63737081,-1.8176100956553803e-05,0.563334857469911
42,1821.9168618882122,182.19168618882122,91.09584309441061,-91.09584309441061,10118.424596022733,9996510.541527715,-1.819648542363911e-05,0.5633246067553883
43,1821.918959661836,182.1918959661836,91.0959479830918,-91.0959479830918,10118.42473237802,9996419.445579732,-1.8208870487633075e-05,0.5633143492505814
44,1821.9201553941782,182.19201553941784,91.09600776970892,-91.09600776970892,10118.424810100621,9996328.349571962,-1.821629184662612e-05,0.5633040877519941
45,1821.920825004729,182.1920825004729,91.09604125023645,-91.09604125023645,10118.424853625309,9996237.253530711,-1.8220689346709975e-05,0.5632938239632035
46,1821.9211932906678,182.1921193290668,91.0960596645334,-91.0960596645334,10118.424877563893,9996146.157471046,-1.8223278736000598e-05,0.5632835589028391
47,1821.9213921651149,182.1921392165115,91.09606960825575,-91.09606960825575,10118.424890490733,9996055.061401438,-1.822480718304675e-05,0.5632732931685888
48,1821.9214975685834,182.19214975685836,91.09607487842918,-91.09607487842918,10118.424897341958,9995963.965326559,-1.82257249031226e-05,0.5632630271045022
49,1821.92155237839,182.19215523783902,91.09607761891951,-91.09607761891951,10118.424900904596,9995872.86924894,-1.8226297819175352e-05,0.5632527609048196
50,1821.9215803313925,182.19215803313926,91.09607901656963,-91.09607901656963,10118.424902721541,9995781.773169924,-1.8226679865056438e-05,0.5632424946770634
51,1821.9215943078939,182.1921594307894,91.0960797153947,-91.0960797153947,10118.424903630013,9995690.677090209,-1.8226958346388874e-05,0.563232228479574
